Code;Libellé;Date (M);Type;Types de notices(M);Usages (zones et sous zones) (M);Nom du référentiel;Nom_usage/web;Notes internes au document;Règle de contrôle;NORME Externe;Modalité de mise à jour;Valeur fixe;Responsable;Commentaire;CODE ou LISTE
144;144;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
145;145;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
146;146;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
147;147;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
148;148;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
149;149;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
150;150;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
151;151;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
152;152;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
153;153;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
154;154;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
155;155;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
156;156;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
157;157;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
158;158;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
159;159;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
160;160;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
161;161;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
162;162;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
163;163;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
164;164;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
165;165;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
166;166;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
167;167;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
168;168;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
169;169;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
170;170;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
171;171;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
172;172;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
173;173;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
174;174;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
175;175;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
176;176;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
177;177;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
178;178;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
179;179;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
180;180;;;A;"A 042 $d pos. 01-03
  A 042 $e pos. 01-03
  B 042 $d pos. 01-03
  B 042 $e pos. 01-03
";DegreLongitude;;;;;;;;;LISTE
####;undefini;13/08/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
....;Undefini;14/08/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
0;;15/08/2009;; ; B 140 $d;MoisJour;;;;;;;;;LISTE
01..;janvier;16/08/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
100;janvier;17/08/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
101;1er janvier;18/08/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
102;02-janv;19/08/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
103;03-janv;20/08/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
104;04-janv;21/08/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
105;05-janv;22/08/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
106;06-janv;23/08/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
107;07-janv;24/08/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
108;08-janv;25/08/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
109;09-janv;26/08/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
110;10-janv;27/08/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
111;11-janv;28/08/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
112;12-janv;29/08/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
113;13-janv;30/08/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
114;14-janv;31/08/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
115;15-janv;01/09/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
116;16-janv;02/09/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
117;17-janv;03/09/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
118;18-janv;04/09/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
119;19-janv;05/09/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
120;20-janv;06/09/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
121;21-janv;07/09/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
122;22-janv;08/09/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
123;23-janv;09/09/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
124;24-janv;10/09/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
125;25-janv;11/09/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
126;26-janv;12/09/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
127;27-janv;13/09/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
128;28-janv;14/09/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
129;29-janv;15/09/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
130;30-janv;16/09/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
131;31-janv;17/09/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
02..;février;18/09/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
200;février;19/09/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
201;1er février;20/09/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
202;02-févr;21/09/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
203;03-févr;22/09/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
204;04-févr;23/09/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
205;05-févr;24/09/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
206;06-févr;25/09/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
207;07-févr;26/09/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
208;08-févr;27/09/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
209;09-févr;28/09/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
210;10-févr;29/09/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
211;11-févr;30/09/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
212;12-févr;01/10/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
213;13-févr;02/10/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
214;14-févr;03/10/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
215;15-févr;04/10/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
216;16-févr;05/10/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
217;17-févr;06/10/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
218;18-févr;07/10/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
219;19-févr;08/10/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
220;20-févr;09/10/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
221;21-févr;10/10/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
222;22-févr;11/10/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
223;23-févr;12/10/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
224;24-févr;13/10/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
225;25-févr;14/10/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
226;26-févr;15/10/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
227;27-févr;16/10/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
228;28-févr;17/10/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
229;29 février;18/10/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
03..;mars;19/10/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
300;mars;20/10/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
301;1er mars;21/10/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
302;02-mars;22/10/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
303;03-mars;23/10/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
304;04-mars;24/10/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
305;05-mars;25/10/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
306;06-mars;26/10/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
307;07-mars;27/10/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
308;08-mars;28/10/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
309;09-mars;29/10/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
310;10-mars;30/10/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
311;11-mars;31/10/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
312;12-mars;01/11/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
313;13-mars;02/11/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
314;14-mars;03/11/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
315;15-mars;04/11/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
316;16-mars;05/11/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
317;17-mars;06/11/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
318;18-mars;07/11/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
319;19-mars;08/11/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
320;20-mars;09/11/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
321;21-mars;10/11/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
322;22-mars;11/11/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
323;23-mars;12/11/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
324;24-mars;13/11/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
325;25-mars;14/11/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
326;26-mars;15/11/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
327;27-mars;16/11/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
328;28-mars;17/11/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
329;29-mars;18/11/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
330;30-mars;19/11/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
331;31-mars;20/11/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
04..;avril;21/11/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
400;avril;22/11/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
401;1er avril;23/11/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
402;02-avr;24/11/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
403;03-avr;25/11/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
404;04-avr;26/11/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
405;05-avr;27/11/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
406;06-avr;28/11/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
407;07-avr;29/11/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
408;08-avr;30/11/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
409;09-avr;01/12/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
410;10-avr;02/12/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
411;11-avr;03/12/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
412;12-avr;04/12/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
413;13-avr;05/12/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
414;14-avr;06/12/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
415;15-avr;07/12/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
416;16-avr;08/12/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
417;17-avr;09/12/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
418;18-avr;10/12/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
419;19-avr;11/12/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
420;20-avr;12/12/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
421;21-avr;13/12/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
422;22-avr;14/12/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
423;23-avr;15/12/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
424;24-avr;16/12/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
425;25-avr;17/12/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
426;26-avr;18/12/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
427;27-avr;19/12/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
428;28-avr;20/12/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
429;29-avr;21/12/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
430;30-avr;22/12/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
05..;mai;23/12/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
500;mai;24/12/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
501;1er mai;25/12/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
502;02-mai;26/12/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
503;03-mai;27/12/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
504;04-mai;28/12/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
505;05-mai;29/12/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
506;06-mai;30/12/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
507;07-mai;31/12/2009;; ; B 140 $d;MoisJour;;;;;;;;;CODE
508;08-mai;01/01/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
509;09-mai;02/01/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
510;10-mai;03/01/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
511;11-mai;04/01/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
512;12-mai;05/01/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
513;13-mai;06/01/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
514;14-mai;07/01/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
515;15-mai;08/01/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
516;16-mai;09/01/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
517;17-mai;10/01/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
518;18-mai;11/01/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
519;19-mai;12/01/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
520;20-mai;13/01/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
521;21-mai;14/01/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
522;22-mai;15/01/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
523;23-mai;16/01/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
524;24-mai;17/01/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
525;25-mai;18/01/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
526;26-mai;19/01/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
527;27-mai;20/01/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
528;28-mai;21/01/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
529;29-mai;22/01/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
530;30-mai;23/01/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
531;31-mai;24/01/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
06..;juin;25/01/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
600;juin;26/01/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
601;1er juin;27/01/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
602;02-juin;28/01/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
603;03-juin;29/01/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
604;04-juin;30/01/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
605;05-juin;31/01/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
606;06-juin;01/02/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
607;07-juin;02/02/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
608;08-juin;03/02/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
609;09-juin;04/02/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
610;10-juin;05/02/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
611;11-juin;06/02/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
612;12-juin;07/02/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
613;13-juin;08/02/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
614;14-juin;09/02/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
615;15-juin;10/02/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
616;16-juin;11/02/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
617;17-juin;12/02/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
618;18-juin;13/02/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
619;19-juin;14/02/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
620;20-juin;15/02/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
621;21-juin;16/02/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
622;22-juin;17/02/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
623;23-juin;18/02/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
624;24-juin;19/02/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
625;25-juin;20/02/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
626;26-juin;21/02/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
627;27-juin;22/02/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
628;28-juin;23/02/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
629;29-juin;24/02/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
630;30-juin;25/02/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
07..;juillet;26/02/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
700;juillet;27/02/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
701;1er juillet;28/02/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
702;02-juil;01/03/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
703;03-juil;02/03/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
704;04-juil;03/03/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
705;05-juil;04/03/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
706;06-juil;05/03/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
707;07-juil;06/03/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
708;08-juil;07/03/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
709;09-juil;08/03/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
710;10-juil;09/03/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
711;11-juil;10/03/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
712;12-juil;11/03/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
713;13-juil;12/03/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
714;14-juil;13/03/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
715;15-juil;14/03/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
716;16-juil;15/03/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
717;17-juil;16/03/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
718;18-juil;17/03/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
719;19-juil;18/03/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
720;20-juil;19/03/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
721;21-juil;20/03/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
722;22-juil;21/03/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
723;23-juil;22/03/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
724;24-juil;23/03/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
725;25-juil;24/03/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
726;26-juil;25/03/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
727;27-juil;26/03/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
728;28-juil;27/03/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
729;29-juil;28/03/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
730;30-juil;29/03/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
731;31-juil;30/03/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
08..;août;31/03/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
800;août;01/04/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
801;1er août;02/04/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
802;02-août;03/04/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
803;03-août;04/04/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
804;04-août;05/04/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
805;05-août;06/04/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
806;06-août;07/04/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
807;07-août;08/04/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
808;08-août;09/04/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
809;09-août;10/04/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
810;10-août;11/04/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
811;11-août;12/04/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
812;12-août;13/04/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
813;13-août;14/04/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
814;14-août;15/04/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
815;15-août;16/04/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
816;16-août;17/04/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
817;17-août;18/04/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
818;18-août;19/04/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
819;19-août;20/04/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
820;20-août;21/04/2010;; ; B 140 $d;MoisJour;;;;;;;;;CODE
